ID,Date,Houston,San Antonio,Austin
104,9/30/2004,147083.5191,148013.903,195434.6826
105,10/31/2004,147930.9857,148030.1442,196068.9994
106,11/30/2004,148558.067,148872.0379,196046.6117
107,12/31/2004,149327.9309,148874.1007,196549.5479
108,1/31/2005,150058.2204,149368.6213,197050.2363
109,2/28/2005,150695.9627,150573.8453,197411.8497
110,3/31/2005,150932.8899,150793.7937,197892.1697
111,4/30/2005,151221.4097,151601.1758,198809.303
112,5/31/2005,151254.1105,152072.3662,199169.2277
113,6/30/2005,151618.8007,152103.8332,200188.5302
114,7/31/2005,151562.1438,152304.0432,200590.7216
115,8/31/2005,151084.419,152930.6718,200533.5564
116,9/30/2005,151294.0714,153397.4048,201291.7509
117,10/31/2005,150978.9033,154453.8268,201615.6159
118,11/30/2005,151573.9712,154242.0674,202231.3953
119,12/31/2005,151380.8097,154476.5442,203035.4579
120,1/31/2006,151650.649,155163.5792,203339.2389
121,2/28/2006,151538.0726,156111.5279,203726.4275
122,3/31/2006,152187.906,156380.5554,203920.3291
123,4/30/2006,152617.1363,157306.1364,204146.2525
124,5/31/2006,153821.6435,158464.6641,204656.0859
125,6/30/2006,153858.8784,159624.5453,205642.3691
126,7/31/2006,154547.4094,160988.9958,206413.1405
127,8/31/2006,155194.1783,161643.5826,207282.6419
128,9/30/2006,155810.793,163162.6596,208285.5413
129,10/31/2006,156560.1066,164357.1417,208758.7204
130,11/30/2006,157046.8534,165534.4136,209501.2764
131,12/31/2006,157746.4635,166964.5717,210513.2654
132,1/31/2007,157505.1375,166705.2116,211243.4184
133,2/28/2007,156827.2318,166305.3727,211617.237
134,3/31/2007,156994.0468,166685.8093,212193.647
135,4/30/2007,158195.9487,167616.0051,213154.764
136,5/31/2007,158738.9724,169559.533,213519.9484
137,6/30/2007,159343.8557,170635.4173,214188.0828
138,7/31/2007,159564.3505,171661.7869,215157.0171
139,8/31/2007,160029.7733,172452.9476,216106.3047
140,9/30/2007,160359.8327,173011.4671,216400.5311
141,10/31/2007,160412.9464,173775.304,217539.5703
142,11/30/2007,160729.746,174166.6544,218152.6871
143,12/31/2007,161114.5391,174630.3677,218726.2723
144,1/31/2008,158785.9509,172492.3333,218862.9573
145,2/29/2008,158724.1619,172584.442,218232.174
146,3/31/2008,158868.1693,172746.2609,219329.9239
147,4/30/2008,158485.5776,172967.3766,218953.0806
148,5/31/2008,158140.4541,172985.7286,218529.7192
149,6/30/2008,158005.6439,172673.1289,217116.3881
150,7/31/2008,157773.7136,172172.6924,217072.2621
151,8/31/2008,156020.6853,170562.1385,215777.4029
152,9/30/2008,155587.2332,170379.2202,214995.1751
153,10/31/2008,155421.6906,169983.2243,214334.3373
154,11/30/2008,153461.6693,169676.1225,210706.5415
155,12/31/2008,152869.482,168929.5827,210977.7379
156,1/31/2009,152490.1376,167893.0918,211053.3674
157,2/28/2009,153059.9947,167214.4246,210000.4079
158,3/31/2009,153009.7156,167547.8003,209665.0812
159,4/30/2009,153453.8709,167266.2643,209573.3214
160,5/31/2009,154310.5152,166860.939,208981.9537
161,6/30/2009,154771.5039,166373.1083,209752.233
162,7/31/2009,155536.9174,165900.5657,209714.5347
163,8/31/2009,154427.6394,164010.5212,208723.3233
164,9/30/2009,153926.5284,164717.2653,208756.122
165,10/31/2009,153747.1871,164778.1343,208427.6916
166,11/30/2009,154344.7063,164806.5135,209075.6811
167,12/31/2009,154459.6881,164658.9217,208552.7307
168,1/31/2010,153564.7706,164627.8281,207404.0433
169,2/28/2010,154543.9254,164716.1134,208729.1553
170,3/31/2010,155749.9079,165476.4994,208833.3352
171,4/30/2010,155723.4441,165954.3983,209025.0068
172,5/31/2010,156234.9345,166326.4259,210434.8021
173,6/30/2010,155263.0898,165733.511,209563.4904
174,7/31/2010,153281.2418,165929.1581,207003.2018
175,8/31/2010,151592.5336,165908.2632,206553.19
176,9/30/2010,151375.6041,165094.2721,205208.8148
177,10/31/2010,150214.2867,163664.0695,203256.539
178,11/30/2010,149870.5303,162289.7076,202822.5563
179,12/31/2010,149703.3364,161764.1741,201449.6323
180,1/31/2011,148224.652,161280.2762,200725.9125
181,2/28/2011,147808.774,160161.8013,199982.3057
182,3/31/2011,147247.0016,161204.3539,200945.1558
183,4/30/2011,146735.2484,160213.9233,201908.1142
184,5/31/2011,147032.3607,159577.1414,201303.0009
185,6/30/2011,146724.024,158810.8658,200207.1676
186,7/31/2011,146735.4375,159108.1956,200847.3294
187,8/31/2011,146430.8735,158147.6586,201564.3096
188,9/30/2011,145803.9513,158593.7688,201038.8912
189,10/31/2011,145359.1108,158291.56,200156.4552
190,11/30/2011,143535.4414,158325.4008,199796.0626
191,12/31/2011,144011.5852,157341.318,200007.4244
192,1/31/2012,144655.6459,157385.0842,201148.1727
193,2/29/2012,144783.7734,158506.933,202183.7736
194,3/31/2012,146210.2375,159881.2721,204140.3399
195,4/30/2012,146511.5448,160529.3952,205056.8789
196,5/31/2012,147220.052,161348.3244,207130.5665
197,6/30/2012,147567.4839,161824.9637,208424.5494
198,7/31/2012,148623.256,161239.6537,208329.8424
199,8/31/2012,148303.881,160987.025,209217.7889
200,9/30/2012,148150.0002,160579.3256,209001.8096
201,10/31/2012,147920.4587,161111.8243,208855.721
202,11/30/2012,148717.1444,162290.1816,209512.7661
203,12/31/2012,148917.6673,162406.4214,212047.1942
204,1/31/2013,150074.6795,163547.0637,214244.3831
205,2/28/2013,151696.8333,164189.7732,215754.2895
206,3/31/2013,154241.5898,164261.6627,218896.5028
207,4/30/2013,156071.7362,164860.7988,222248.6896
208,5/31/2013,157641.8328,165654.2997,223913.2875
209,6/30/2013,158614.0386,167063.9948,225917.6707
210,7/31/2013,160418.4184,167933.5768,227951.6986
211,8/31/2013,161234.1021,168929.7195,227975.2362
212,9/30/2013,162084.7983,170041.0276,229932.4424
213,10/31/2013,163661.6438,170584.8414,232333.9713
214,11/30/2013,164476.3214,170668.4277,234998.6566
215,12/31/2013,165284.4042,171410.4038,236161.1247
216,1/31/2014,167403.8274,172348.8769,237079.7996
217,2/28/2014,168848.8965,173650.323,240090.2917
218,3/31/2014,169436.4298,174451.669,242693.0612
219,4/30/2014,171119.3633,175464.3178,244920.8305
220,5/31/2014,172708.7869,177616.4818,247319.5945
221,6/30/2014,174091.6402,177770.9824,248678.2725
222,7/31/2014,176054.9035,178185.5694,249786.3213
223,8/31/2014,177272.6381,177700.4983,251536.298
224,9/30/2014,178203.4428,178364.7002,253179.8047
225,10/31/2014,179279.5036,179429.8683,253994.7687
226,11/30/2014,180407.6424,180904.6452,256536.8711
227,12/31/2014,181786.1178,181786.2674,258232.8266
228,1/31/2015,183346.638,182012.1997,259050.0927
229,2/28/2015,184626.8083,184796.2102,260817.2743
230,3/31/2015,187073.9205,185338.7258,263132.9169
231,4/30/2015,188575.034,186211.6565,265082.8107
232,5/31/2015,190099.7987,187211.3099,267560.2065
233,6/30/2015,191143.4471,188808.4294,268809.5244
234,7/31/2015,191257.4231,189780.8054,271305.1484
235,8/31/2015,190880.9516,191182.1231,272201.0841
236,9/30/2015,191683.5661,191079.0949,273326.9236
237,10/31/2015,192665.1038,192003.1789,275120.229
238,11/30/2015,192407.2632,192499.0024,276434.6363
239,12/31/2015,193409.1597,194050.2538,279391.9744
240,1/31/2016,195292.1651,195239.8215,281773.5387
241,2/29/2016,195372.8623,194831.7814,283119.2841
242,3/31/2016,195943.0937,197133.6909,285715.3813
243,4/30/2016,197086.6925,199762.2013,286922.6474
244,5/31/2016,198629.4778,200456.4815,287694.4523
245,6/30/2016,198884.7715,201008.2925,289294.7377
246,7/31/2016,199871.8012,201161.5356,291189.7525
247,8/31/2016,198563.0502,200867.8473,289499.4349
248,9/30/2016,198502.8011,201675.875,291300.1723
249,10/31/2016,199176.91,201635.1085,294494.1501
250,11/30/2016,200409.8789,203372.5636,295938.1775
251,12/31/2016,201176.5773,205633.7832,296804.197
252,1/31/2017,200851.6084,208328.7369,297469.5959
253,2/28/2017,202523.1313,209855.5486,299085.4134
254,3/31/2017,203981.2086,210366.5274,301622.3721
255,4/30/2017,204455.1147,210927.2427,303629.13
256,5/31/2017,205647.4811,211891.429,304620.0642
257,6/30/2017,206312.3103,213080.7181,305414.2672
258,7/31/2017,206000.0475,213911.9472,304523.3036
259,8/31/2017,205324.2543,214534.2027,304448.8133
260,9/30/2017,205895.7848,214921.3675,304937.7866
261,10/31/2017,205973.0578,216164.2207,306707.9899
262,11/30/2017,206461.9728,217277.3685,309086.7742
263,12/31/2017,207352.2771,216565.1819,310567.8051
264,1/31/2018,207664.2791,216862.1904,311566.2528
265,2/28/2018,208275.4127,218525.6185,311802.6112
266,3/31/2018,209998.4131,221182.0959,314020.5528
267,4/30/2018,212064.254,221728.4371,314951.1978
268,5/31/2018,213147.7316,223450.2859,315780.587
269,6/30/2018,213544.667,224459.8176,318029.3211
270,7/31/2018,214216.0112,224788.4136,317793.5687
271,8/31/2018,214742.1928,225325.2926,319459.8094
272,9/30/2018,215123.7849,224357.0662,318767.4685
273,10/31/2018,215521.3955,225676.9049,319985.2745
274,11/30/2018,215827.8513,226020.171,319493.8783
275,12/31/2018,216444.4084,228411.8405,322129.2506
276,1/31/2019,218274.1297,229148.5096,325666.7626
277,2/28/2019,218839.4205,231450.2281,328435.2853
278,3/31/2019,219025.2697,231790.3185,328745.0063
279,4/30/2019,219689.3998,232912.0802,330558.4979
280,5/31/2019,220991.5956,234168.5387,331603.5185
281,6/30/2019,221409.7355,234243.8292,331463.0454
282,7/31/2019,221897.7181,234956.6946,332105.0197
283,8/31/2019,221495.1646,235333.5254,332733.6983
284,9/30/2019,221038.1417,236501.421,334272.0743
285,10/31/2019,222471.4746,235930.0849,329895.082
286,11/30/2019,222419.1328,237139.9505,332044.9515
287,12/31/2019,222187.6281,235792.8509,334799.7188
288,1/31/2020,222060.4893,237458.0885,337453.9136
289,2/29/2020,223687.9565,237897.3383,338363.0601
290,3/31/2020,225390.9463,239419.4844,343651.4728
291,4/30/2020,226661.3929,238911.9606,347549.503
292,5/31/2020,227195.8215,239681.7142,348276.8148
293,6/30/2020,227401.3984,240617.0109,348766.6485
294,7/31/2020,228447.3637,242312.8791,352824.4123
295,8/31/2020,229280.3329,243584.4124,356539.2972
