ID Occupied By,Occupied By,ID Year,Year,Household Ownership,Household Ownership Moe,Geography,ID Geography,Slug Geography,share
0,"Owner Occupied",2019,"2019",1840,161,"Scenic Oaks, TX","16000US4866089","scenic-oaks-tx",0.944558521560575
0,"Owner Occupied",2019,"2019",10542,491,"Schertz, TX","16000US4866128","schertz-tx",0.745070322991024
0,"Owner Occupied",2019,"2019",2411,363,"Selma, TX","16000US4866704","selma-tx",0.6417354272025553
0,"Owner Occupied",2019,"2019",1209,149,"Shavano Park, TX","16000US4867268","shavano-park-tx",0.9430577223088924
0,"Owner Occupied",2019,"2019",1512,200,"Terrell Hills, TX","16000US4872296","terrell-hills-tx",0.9043062200956937
0,"Owner Occupied",2019,"2019",6621,264,"Timberwood Park, TX","16000US4873057","timberwood-park-tx",0.8381012658227848
0,"Owner Occupied",2019,"2019",189,50,"Von Ormy, TX","16000US4875764","von-ormy-tx",0.7105263157894737
0,"Owner Occupied",2019,"2019",1761,240.00000000000003,"Windcrest, TX","16000US4879672","windcrest-tx",0.8255977496483825
0,"Owner Occupied",2019,"2019",507632,3881,"San Antonio-New Braunfels, TX","31000US41700","san-antonio-new-braunfels-tx",0.625674967799984
0,"Owner Occupied",2018,"2018",76444810,367132,"United States","01000US","united-states",0.6384759732320674
0,"Owner Occupied",2018,"2018",5917771,29036.999999999996,"Texas","04000US48","texas",0.6194643048929106
0,"Owner Occupied",2018,"2018",372033,3065,"Bexar County, TX","05000US48029","bexar-county-tx",0.5881256580257804
0,"Owner Occupied",2018,"2018",2270,213,"Alamo Heights, TX","16000US4801600","alamo-heights-tx",0.7204062202475404
0,"Owner Occupied",2018,"2018",173,61,"Balcones Heights, TX","16000US4805384","balcones-heights-tx",0.12055749128919861
0,"Owner Occupied",2018,"2018",1291,169,"Castle Hills, TX","16000US4813276","castle-hills-tx",0.7621015348288076
0,"Owner Occupied",2018,"2018",364,72,"China Grove, TX","16000US4814716","china-grove-tx",0.926208651399491
0,"Owner Occupied",2018,"2018",5541,302,"Converse, TX","16000US4816468","converse-tx",0.724692649751504
0,"Owner Occupied",2018,"2018",1087,138,"Cross Mountain, TX","16000US4817811","cross-mountain-tx",0.8525490196078431
