ID Real Estate Taxes Paid,Real Estate Taxes Paid,ID Year,Year,Real Estate Taxes by Mortgage,Real Estate Taxes by Mortgage Moe,Geography,ID Geography,Slug Geography,share
4,"$3,000 or More",2017,"2017",174912,2343.074902771996,"Travis County, TX","05000US48453","travis-county-tx",0.7467691322446366
5,"No Real Estate Taxes Paid",2017,"2017",5780,488.7954582440389,"Travis County, TX","05000US48453","travis-county-tx",0.02467712669441776
0,"Less Than $800",2016,"2016",12531747,45777.658306208716,"United States","01000US","united-states",0.16735534541254138
1,"$800 to $1,499",2016,"2016",13602086,53076.79362018772,"United States","01000US","united-states",0.18164919869999718
2,"$1,500 to $1,999",2016,"2016",7445603,31198.373835826766,"United States","01000US","united-states",0.09943238256163761
3,"$2,000 to $2,999",2016,"2016",11663686,47806.785480724386,"United States","01000US","united-states",0.1557628157760784
4,"$3,000 or More",2016,"2016",26506698,95975.3177540976,"United States","01000US","united-states",0.3539839736260172
5,"No Real Estate Taxes Paid",2016,"2016",3131248,19009.20306062303,"United States","01000US","united-states",0.04181628392372822
0,"Less Than $800",2016,"2016",10211,679.8955802180215,"Travis County, TX","05000US48453","travis-county-tx",0.04486576738872534
1,"$800 to $1,499",2016,"2016",11079,705.1730284121763,"Travis County, TX","05000US48453","travis-county-tx",0.04867964321806758
2,"$1,500 to $1,999",2016,"2016",9877,690.887110894392,"Travis County, TX","05000US48453","travis-county-tx",0.043398216090337886
3,"$2,000 to $2,999",2016,"2016",24348,1062.6499894132594,"Travis County, TX","05000US48453","travis-county-tx",0.10698185333274748
4,"$3,000 or More",2016,"2016",166438,2546.5961595824338,"Travis County, TX","05000US48453","travis-county-tx",0.7313062964102114
5,"No Real Estate Taxes Paid",2016,"2016",5637,542.30987451825,"Travis County, TX","05000US48453","travis-county-tx",0.024768223559910364
0,"Less Than $800",2015,"2015",12879501,48935.47736560869,"United States","01000US","united-states",0.1723884424543813
1,"$800 to $1,499",2015,"2015",13777456,51066.01752633546,"United States","01000US","united-states",0.18440731367028665
2,"$1,500 to $1,999",2015,"2015",7381394,32851.843616454775,"United States","01000US","united-states",0.0987978505380073
3,"$2,000 to $2,999",2015,"2015",11823238,48189.1236276403,"United States","01000US","united-states",0.15825066387179554
4,"$3,000 or More",2015,"2015",25749921,90398.20937385873,"United States","01000US","united-states",0.34465533831732803
5,"No Real Estate Taxes Paid",2015,"2015",3100581,19015.709715916466,"United States","01000US","united-states",0.041500391148201164
0,"Less Than $800",2015,"2015",11182,691.6559838532448,"Travis County, TX","05000US48453","travis-county-tx",0.05050016935757028
1,"$800 to $1,499",2015,"2015",10815,686.878446306186,"Travis County, TX","05000US48453","travis-county-tx",0.04884272326973016
2,"$1,500 to $1,999",2015,"2015",9360,606.2911841681355,"Travis County, TX","05000US48453","travis-county-tx",0.04227164954273456
3,"$2,000 to $2,999",2015,"2015",26011,1024.5877219643032,"Travis County, TX","05000US48453","travis-county-tx",0.11747092695043468
4,"$3,000 or More",2015,"2015",158879,2194.7227615350416,"Travis County, TX","05000US48453","travis-county-tx",0.7175296375747996
5,"No Real Estate Taxes Paid",2015,"2015",5178,502.38232452983453,"Travis County, TX","05000US48453","travis-county-tx",0.02338489330473072
0,"Less Than $800",2014,"2014",13084968,48472.84374781409,"United States","01000US","united-states",0.17496205914734902
1,"$800 to $1,499",2014,"2014",13717368,51747.27915552662,"United States","01000US","united-states",0.183418022219233
2,"$1,500 to $1,999",2014,"2014",7542643,34096.920124844124,"United States","01000US","united-states",0.10085438120241014
3,"$2,000 to $2,999",2014,"2014",11891354,42869.47282157783,"United States","01000US","united-states",0.1590019770694178
4,"$3,000 or More",2014,"2014",25480506,87258.29093558961,"United States","01000US","united-states",0.3407055942266257
5,"No Real Estate Taxes Paid",2014,"2014",3070621,17287.79826929965,"United States","01000US","united-states",0.04105796613496434
0,"Less Than $800",2014,"2014",11409,728.4861014460056,"Travis County, TX","05000US48453","travis-county-tx",0.052730339934832345
1,"$800 to $1,499",2014,"2014",10572,640.0695274733832,"Travis County, TX","05000US48453","travis-county-tx",0.04886187692094378
2,"$1,500 to $1,999",2014,"2014",9698,683.7660418593482,"Travis County, TX","05000US48453","travis-county-tx",0.04482240658147112
3,"$2,000 to $2,999",2014,"2014",26322,1083.6387774530774,"Travis County, TX","05000US48453","travis-county-tx",0.12165553578443833
4,"$3,000 or More",2014,"2014",153650,2683.427658797606,"Travis County, TX","05000US48453","travis-county-tx",0.7101425831349802
5,"No Real Estate Taxes Paid",2014,"2014",4714,461.83222061696824,"Travis County, TX","05000US48453","travis-county-tx",0.021787257643334182
0,"Less Than $800",2013,"2013",13204671,48677.49545734661,"United States","01000US","united-states",0.17588475365531056
1,"$800 to $1,499",2013,"2013",13902212,52861.0580389761,"United States","01000US","united-states",0.18517592243562164
2,"$1,500 to $1,999",2013,"2013",7668065,32567.909435516427,"United States","01000US","united-states",0.10213777560515586
3,"$2,000 to $2,999",2013,"2013",12013726,47260.06468467854,"United States","01000US","united-states",0.16002149830104814
4,"$3,000 or More",2013,"2013",25327452,91498.30479850432,"United States","01000US","united-states",0.3373588524649121
5,"No Real Estate Taxes Paid",2013,"2013",2959574,15983.608666380693,"United States","01000US","united-states",0.039421197537951695
0,"Less Than $800",2013,"2013",11545,688.459875374012,"Travis County, TX","05000US48453","travis-county-tx",0.054153317916797616
1,"$800 to $1,499",2013,"2013",10607,713.6897084868185,"Travis County, TX","05000US48453","travis-county-tx",0.0497535074182306
2,"$1,500 to $1,999",2013,"2013",9711,682.565747748889,"Travis County, TX","05000US48453","travis-county-tx",0.04555070335989793
3,"$2,000 to $2,999",2013,"2013",27534,1006.8033571656383,"Travis County, TX","05000US48453","travis-county-tx",0.12915179346220057
4,"$3,000 or More",2013,"2013",150130,2274.5588583283575,"Travis County, TX","05000US48453","travis-county-tx",0.7042042112471915
5,"No Real Estate Taxes Paid",2013,"2013",3664,419.42102951568853,"Travis County, TX","05000US48453","travis-county-tx",0.017186466595681807
